epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,,0.5579230189323425,45963000.0,0.5712908506393433,1.5868912935256958,0.5712908506393433
0,2,0.7538846135139465,,,,,,
1,5,,,0.5069202184677124,37752880.0,0.5084740519523621,1.6372005939483643,0.5084740519523621
1,5,0.549178957939148,,,,,,
2,8,,,0.586455225944519,50198596.0,0.6097627282142639,1.5666320323944092,0.6097627282142639
2,8,0.5442196726799011,,,,,,
3,11,,,0.4701286256313324,31948066.0,0.4739513099193573,1.6759507656097412,0.4739513099193573
3,11,0.5311182141304016,,,,,,
4,14,,,0.5356825590133667,42309916.0,0.540338933467865,1.608683466911316,0.540338933467865
4,14,0.5184599757194519,,,,,,
5,17,,,0.5173883438110352,39426972.0,0.51866614818573,1.6260063648223877,0.51866614818573
5,17,0.5187150835990906,,,,,,
6,20,,,0.4773673713207245,33092940.0,0.47937318682670593,1.6677416563034058,0.47937318682670593
6,20,0.5152720808982849,,,,,,
7,23,,,0.5309937596321106,41475740.0,0.5342875123023987,1.614577293395996,0.5342875123023987
7,23,0.511142909526825,,,,,,
8,26,,,0.5315055847167969,41531764.0,0.5348979830741882,1.6145155429840088,0.5348979830741882
8,26,0.5084121227264404,,,,,,
9,29,,,0.5027461647987366,37021308.0,0.5028942227363586,1.6422741413116455,0.5028942227363586
9,29,0.5095775723457336,,,,,,
10,32,,,0.522789478302002,40203696.0,0.5245639681816101,1.6219947338104248,0.5245639681816101
10,32,0.5074136257171631,,,,,,
11,35,,,0.5130363702774048,38703912.0,0.5136443376541138,1.6308523416519165,0.5136443376541138
11,35,0.5059256553649902,,,,,,
12,38,,,0.4945945143699646,35817232.0,0.4947081506252289,1.6491806507110596,0.4947081506252289
12,38,0.5053292512893677,,,,,,
13,41,,,0.5137323141098022,38814144.0,0.5144040584564209,1.630156397819519,0.5144040584564209
13,41,0.5051255226135254,,,,,,
14,44,,,0.5149199962615967,38981504.0,0.5156868100166321,1.6293267011642456,0.5156868100166321
14,44,0.5043939352035522,,,,,,
15,47,,,0.5083311796188354,37920364.0,0.5085845589637756,1.6362634897232056,0.5085845589637756
15,47,0.5038752555847168,,,,,,
16,49,,0.5033046007156372,,,,,
16,50,,,0.5063281059265137,37601396.0,0.5064894556999207,1.638335943222046,0.5064894556999207
16,50,0.5032355785369873,,,,,,
17,53,,,0.5176853537559509,39384296.0,0.518753170967102,1.6271923780441284,0.518753170967102
17,53,0.503370463848114,,,,,,
18,56,,,0.5051474571228027,37425844.0,0.5052523016929626,1.6393380165100098,0.5052523016929626
18,56,0.5031395554542542,,,,,,
19,59,,,0.5076248049736023,37822000.0,0.5078306198120117,1.6367406845092773,0.5078306198120117
19,59,0.5031072497367859,,,,,,
20,62,,,0.5094130039215088,38105132.0,0.5097209811210632,1.63492751121521,0.5097209811210632
20,62,0.5024925470352173,,,,,,
21,65,,,0.5011558532714844,36809184.0,0.5011698007583618,1.6431714296340942,0.5011698007583618
21,65,0.5024566054344177,,,,,,
22,68,,,0.5104571580886841,38277024.0,0.5108354091644287,1.633758306503296,0.5108354091644287
22,68,0.502281129360199,,,,,,
23,71,,,0.5066640973091125,37673884.0,0.5068203806877136,1.6376471519470215,0.5068203806877136
23,71,0.5019371509552002,,,,,,
24,74,,,0.4993836283683777,36523176.0,0.4994031488895416,1.645107626914978,0.4994031488895416
24,74,0.5017601847648621,,,,,,
25,77,,,0.5072970390319824,37756568.0,0.5074924826622009,1.6373143196105957,0.5074924826622009
25,77,0.5017766356468201,,,,,,
26,80,,,0.5083093643188477,37901148.0,0.5085760354995728,1.6365679502487183,0.5085760354995728
26,80,0.5016195178031921,,,,,,
27,83,,,0.5055670738220215,37476504.0,0.5057001709938049,1.63919198513031,0.5057001709938049
27,83,0.5017989277839661,,,,,,
28,86,,,0.4928193688392639,35484564.0,0.4930513799190521,1.6519914865493774,0.4930513799190521
28,86,0.5014457702636719,,,,,,
29,89,,,0.49667495489120483,36093372.0,0.49674272537231445,1.6479542255401611,0.49674272537231445
29,89,0.501960039138794,,,,,,
